State,Percent of High School Graduates Going Directly to College (%),Projected High School Graduates - 2018,First-Time Freshmen Directly from High School Enrolled Anywhere in the US - Fall 2018
Alabama,65.95,"48,690","32,111"
Alaska,41.14,"7,758","3,192"
Arizona,50.09,"68,985","34,558"
Arkansas,63.13,"31,315","19,770"
California,66.01,"431,009","284,529"
Colorado,57.98,"58,612","33,982"
Connecticut,78.05,"40,056","31,265"
Delaware,70.93,"9,689","6,872"
Florida,64.56,"181,999","117,494"
Georgia,65.37,"108,051","70,630"
Hawaii,61.39,"13,702","8,412"
Idaho,43.93,"20,739","9,111"
Illinois,61.72,"145,526","89,814"
Indiana,61.32,"75,013","46,001"
Iowa,65.98,"35,032","23,113"
Kansas,61.9,"35,484","21,965"
Kentucky,64.08,"46,380","29,722"
Louisiana,68.78,"45,047","30,984"
Maine,58.8,"14,353","8,439"
Maryland,65.38,"62,688","40,985"
Massachusetts,74.09,"73,563","54,505"
Michigan,64.79,"103,250","66,900"
Minnesota,67.72,"62,303","42,189"
Mississippi,80.47,"28,885","23,244"
Missouri,59.27,"68,514","40,609"
Montana,53.97,"9,682","5,225"
Nebraska,62.58,"24,001","15,021"
Nevada,58.16,"25,077","14,585"
New Hampshire,61.2,"15,256","9,336"
New Jersey,74.02,"103,091","76,312"
New Mexico,60.71,"20,841","12,652"
New York,72.42,"205,026","148,482"
North Carolina,63.29,"107,651","68,136"
North Dakota,61.15,"7,743","4,735"
Ohio,63.24,"122,452","77,435"
Oklahoma,57.27,"41,851","23,968"
Oregon,55.63,"36,594","20,358"
Pennsylvania,61.9,"137,709","85,246"
Rhode Island,69.81,"11,039","7,707"
South Carolina,68.89,"46,760","32,212"
South Dakota,69.32,"8,522","5,907"
Tennessee,68.65,"67,268","46,182"
Texas,57.59,"348,578","200,734"
Utah,46.96,"39,100","18,361"
Vermont,55.11,"6,676","3,679"
Virginia,69,"90,213","62,243"
Washington,53.23,"70,411","37,480"
West Virginia,54.85,"17,447","9,570"
Wisconsin,58.28,"65,548","38,202"
Wyoming,56.12,"5,864","3,291"
Nation,63.65,"3,456,347","2,200,104"